,yr_month,Felony,Misdemeanor
1,2015-01-01,136,267
3,2015-02-01,147,208
5,2015-03-01,154,244
7,2015-04-01,180,298
9,2015-05-01,149,244
11,2015-06-01,154,294
13,2015-07-01,157,263
15,2015-08-01,153,318
17,2015-09-01,158,267
19,2015-10-01,166,270
21,2015-11-01,149,236
23,2015-12-01,144,258
25,2016-01-01,154,262
27,2016-02-01,178,272
29,2016-03-01,172,318
31,2016-04-01,171,270
33,2016-05-01,169,257
35,2016-06-01,177,315
37,2016-07-01,158,232
39,2016-08-01,195,306
41,2016-09-01,154,295
43,2016-10-01,167,286
45,2016-11-01,148,301
47,2016-12-01,156,237
49,2017-01-01,185,288
51,2017-02-01,189,258
53,2017-03-01,199,293
55,2017-04-01,169,282
57,2017-05-01,183,323
59,2017-06-01,220,277
61,2017-07-01,154,285
63,2017-08-01,178,308
65,2017-09-01,154,259
67,2017-10-01,161,263
69,2017-11-01,169,261
71,2017-12-01,135,294
73,2018-01-01,179,298
75,2018-02-01,164,250
77,2018-03-01,212,283
79,2018-04-01,174,264
81,2018-05-01,209,256
83,2018-06-01,207,283
85,2018-07-01,215,266
87,2018-08-01,229,268
89,2018-09-01,183,276
91,2018-10-01,211,294
93,2018-11-01,159,275
95,2018-12-01,154,232
97,2019-01-01,233,264
99,2019-02-01,224,242
101,2019-03-01,275,283
103,2019-04-01,243,317
105,2019-05-01,239,297
107,2019-06-01,299,294
109,2019-07-01,276,305
111,2019-08-01,243,330
113,2019-09-01,263,315
115,2019-10-01,244,293
117,2019-11-01,256,309
119,2019-12-01,212,338
121,2020-01-01,247,373
123,2020-02-01,217,302
125,2020-03-01,174,170
127,2020-04-01,182,163
129,2020-05-01,189,158
131,2020-06-01,186,159
133,2020-07-01,188,203
135,2020-08-01,233,171
137,2020-09-01,206,240
139,2020-10-01,226,194
141,2020-11-01,183,162
143,2020-12-01,202,163
145,2021-01-01,164,183
147,2021-02-01,180,162
149,2021-03-01,206,216
151,2021-04-01,217,161
153,2021-05-01,204,148
155,2021-06-01,185,197
157,2021-07-01,224,157
159,2021-08-01,202,181
161,2021-09-01,179,145
163,2021-10-01,156,127
165,2021-11-01,165,123
