year,milw_or_other,Felony,Misdemeanor
2015,Milwaukee Police Department,3750,3887
2015,Other Law Enforcement Agency,1847,3167
2016,Milwaukee Police Department,3720,3367
2016,Other Law Enforcement Agency,1999,3351
2017,Milwaukee Police Department,3791,3636
2017,Other Law Enforcement Agency,2096,3391
2018,Milwaukee Police Department,3651,3762
2018,Other Law Enforcement Agency,2295,3244
2019,Milwaukee Police Department,2606,3276
2019,Other Law Enforcement Agency,3014,3587
2020,Milwaukee Police Department,2657,2952
2020,Other Law Enforcement Agency,2446,2458
2021,Milwaukee Police Department,2603,2515
2021,Other Law Enforcement Agency,2378,2096
2022,Milwaukee Police Department,873,777
