yr_month,referrals,charge_issued
2015-01-01,1150,588
2015-02-01,982,536
2015-03-01,1119,589
2015-04-01,1262,636
2015-05-01,1177,594
2015-06-01,1208,592
2015-07-01,1264,585
2015-08-01,1337,691
2015-09-01,1105,569
2015-10-01,1155,598
2015-11-01,1159,561
2015-12-01,1043,515
2016-01-01,1076,514
2016-02-01,1112,540
2016-03-01,1274,607
2016-04-01,1060,537
2016-05-01,1259,636
2016-06-01,1305,649
2016-07-01,1114,506
2016-08-01,1189,632
2016-09-01,1096,610
2016-10-01,1036,502
2016-11-01,1056,532
2016-12-01,943,453
2017-01-01,1098,576
2017-02-01,1153,531
2017-03-01,1243,604
2017-04-01,1231,569
2017-05-01,1374,650
2017-06-01,1388,566
2017-07-01,1429,630
2017-08-01,1406,634
2017-09-01,1273,553
2017-10-01,1321,583
2017-11-01,1304,533
2017-12-01,1317,598
2018-01-01,1343,643
2018-02-01,1135,539
2018-03-01,1380,665
2018-04-01,1292,566
2018-05-01,1298,584
2018-06-01,1296,584
2018-07-01,1411,576
2018-08-01,1354,602
2018-09-01,1224,598
2018-10-01,1304,582
2018-11-01,1230,556
2018-12-01,1239,511
2019-01-01,1121,491
2019-02-01,1162,447
2019-03-01,1232,575
2019-04-01,1288,591
2019-05-01,1340,581
2019-06-01,1268,570
2019-07-01,1396,625
2019-08-01,1299,617
2019-09-01,1239,595
2019-10-01,1290,574
2019-11-01,1179,532
2019-12-01,1352,662
2020-01-01,1339,646
2020-02-01,1190,550
2020-03-01,1133,444
2020-04-01,1094,438
2020-05-01,1251,419
2020-06-01,1177,383
2020-07-01,1294,446
2020-08-01,1279,430
2020-09-01,1080,401
2020-10-01,1409,391
2020-11-01,1183,352
2020-12-01,1126,326
2021-01-01,1144,353
2021-02-01,955,320
2021-03-01,1241,377
