yr_month," Filed, amended, etc.",Deferred prosecution,Dismissed,"Filed, amended, etc.",Found Guilty at Trial,Found Not Guilty at Trial,Plead Guilty
2015-01-01,1,3,25,0,14,0,120
2015-02-01,1,1,25,0,15,6,106
2015-03-01,0,1,34,0,16,6,99
2015-04-01,1,1,29,0,15,4,117
2015-05-01,0,3,28,0,17,2,104
2015-06-01,1,1,32,0,22,4,142
2015-07-01,2,1,29,0,12,0,123
2015-08-01,2,1,28,0,13,1,119
2015-09-01,0,2,37,0,11,1,129
2015-10-01,1,4,55,1,23,4,179
2015-11-01,0,2,26,0,10,6,110
2015-12-01,2,4,29,1,8,5,87
2016-01-01,2,0,52,3,21,1,112
2016-02-01,1,3,53,0,14,6,143
2016-03-01,2,4,41,1,18,3,178
2016-04-01,1,2,35,0,20,6,139
2016-05-01,0,2,39,0,12,2,134
2016-06-01,2,2,35,0,21,5,145
2016-07-01,2,3,30,0,14,7,124
2016-08-01,1,3,46,0,14,4,127
2016-09-01,0,1,36,0,19,6,121
2016-10-01,1,2,31,1,15,2,137
2016-11-01,1,2,39,0,10,3,119
2016-12-01,1,1,42,0,14,2,92
2017-01-01,1,0,29,0,23,4,122
2017-02-01,1,1,58,1,16,3,139
2017-03-01,0,0,50,0,21,8,128
2017-04-01,0,1,40,1,12,5,124
2017-05-01,0,5,49,0,15,8,127
2017-06-01,0,3,35,0,23,5,108
2017-07-01,0,1,39,0,7,2,110
2017-08-01,1,4,55,0,18,6,130
2017-09-01,0,2,35,0,18,3,105
2017-10-01,1,4,41,0,18,8,160
2017-11-01,0,4,47,0,15,5,142
2017-12-01,0,7,24,0,12,3,113
2018-01-01,1,5,40,0,13,4,152
2018-02-01,0,3,43,0,18,2,138
2018-03-01,1,3,51,0,20,5,154
2018-04-01,0,2,52,0,25,7,131
2018-05-01,0,2,45,0,13,4,123
2018-06-01,0,5,31,0,11,0,136
2018-07-01,0,2,51,0,10,4,120
2018-08-01,0,5,29,0,17,4,112
2018-09-01,1,1,35,0,10,4,116
2018-10-01,1,3,56,0,14,5,149
2018-11-01,1,1,44,0,14,6,114
2018-12-01,1,6,45,0,10,4,109
2019-01-01,0,4,34,0,15,3,106
2019-02-01,0,5,48,0,15,3,182
2019-03-01,0,6,46,0,17,4,157
2019-04-01,1,8,53,0,19,7,169
2019-05-01,0,5,50,0,21,4,149
2019-06-01,0,6,43,0,12,6,159
2019-07-01,1,5,50,0,10,5,173
2019-08-01,1,1,44,0,14,1,130
2019-09-01,0,4,46,0,20,5,134
2019-10-01,1,4,38,0,22,7,176
2019-11-01,0,10,31,0,15,3,117
2019-12-01,0,8,36,0,16,4,120
2020-01-01,0,13,48,0,16,4,160
