Month-Year,Average number of days
1/1/2017,57.92
2/1/2017,52.52
3/1/2017,58.62
4/1/2017,48.08
5/1/2017,56.81
6/1/2017,43.36
7/1/2017,59.72
8/1/2017,45.01
9/1/2017,58.82
10/1/2017,56.04
11/1/2017,52.61
12/1/2017,55.25
1/1/2018,62.72
2/1/2018,42.92
3/1/2018,49.14
4/1/2018,43.01
5/1/2018,48.02
6/1/2018,39.52
7/1/2018,39.76
8/1/2018,39.69
9/1/2018,35.93
10/1/2018,33.20
11/1/2018,30.28
12/1/2018,33.49
1/1/2019,35.19
2/1/2019,25.70
3/1/2019,31.46
4/1/2019,33.83
5/1/2019,29.85
6/1/2019,24.62
7/1/2019,24.18
8/1/2019,22.45
9/1/2019,20.64
10/1/2019,16.36
11/1/2019,17.60
12/1/2019,16.10
1/1/2020,11.73
2/1/2020,9.12
3/1/2020,9.31
4/1/2020,5.35
5/1/2020,2.69
6/1/2020,1.80
