,yr_month,Felony,Misdemeanor,Ordinance
0,2015-01-01,647,732,2
2,2015-02-01,587,659,1
4,2015-03-01,687,729,2
6,2015-04-01,642,783,2
8,2015-05-01,639,768,3
10,2015-06-01,632,758,0
12,2015-07-01,704,852,1
14,2015-08-01,669,860,0
16,2015-09-01,674,719,0
18,2015-10-01,594,735,0
20,2015-11-01,561,765,1
22,2015-12-01,572,643,2
24,2016-01-01,569,676,3
26,2016-02-01,553,682,1
28,2016-03-01,664,783,4
30,2016-04-01,642,660,1
32,2016-05-01,719,837,4
34,2016-06-01,719,829,1
36,2016-07-01,581,743,1
38,2016-08-01,722,758,1
40,2016-09-01,657,652,0
42,2016-10-01,615,624,0
44,2016-11-01,622,616,1
46,2016-12-01,545,582,2
48,2017-01-01,653,695,3
50,2017-02-01,664,772,0
52,2017-03-01,715,821,1
54,2017-04-01,709,818,0
56,2017-05-01,741,902,0
58,2017-06-01,749,982,0
60,2017-07-01,740,1016,1
62,2017-08-01,775,949,2
64,2017-09-01,743,858,0
66,2017-10-01,721,896,1
68,2017-11-01,624,912,1
70,2017-12-01,594,911,1
72,2018-01-01,730,896,1
74,2018-02-01,667,756,0
76,2018-03-01,717,942,3
78,2018-04-01,677,875,1
80,2018-05-01,682,889,0
82,2018-06-01,626,849,1
84,2018-07-01,770,965,3
86,2018-08-01,742,914,0
88,2018-09-01,663,826,2
90,2018-10-01,695,872,1
92,2018-11-01,607,798,2
94,2018-12-01,599,865,1
96,2019-01-01,474,683,3
98,2019-02-01,401,728,2
100,2019-03-01,529,803,1
102,2019-04-01,554,782,1
104,2019-05-01,541,830,2
106,2019-06-01,474,788,2
108,2019-07-01,576,902,0
110,2019-08-01,587,803,0
112,2019-09-01,452,755,1
114,2019-10-01,493,803,2
116,2019-11-01,468,713,0
118,2019-12-01,526,835,1
120,2020-01-01,509,809,0
122,2020-02-01,506,764,3
124,2020-03-01,488,791,2
126,2020-04-01,544,768,1
128,2020-05-01,580,902,2
130,2020-06-01,541,836,0
132,2020-07-01,591,881,1
134,2020-08-01,574,865,0
136,2020-09-01,647,649,0
138,2020-10-01,591,967,0
140,2020-11-01,544,817,1
142,2020-12-01,573,761,0
144,2021-01-01,536,755,0
146,2021-02-01,508,645,1
148,2021-03-01,599,825,0
150,2021-04-01,578,798,3
152,2021-05-01,561,761,1
154,2021-06-01,746,874,0
156,2021-07-01,604,809,0
158,2021-08-01,698,769,0
160,2021-09-01,615,709,2
162,2021-10-01,596,753,0
