yr_month,Felony,Misdemeanor,Ordinance
2015-01-01,999,1150,99
2015-02-01,902,982,128
2015-03-01,1132,1119,106
2015-04-01,1087,1262,83
2015-05-01,997,1177,82
2015-06-01,977,1208,93
2015-07-01,1110,1264,64
2015-08-01,999,1337,81
2015-09-01,1055,1105,122
2015-10-01,995,1155,152
2015-11-01,919,1159,137
2015-12-01,1009,1043,188
2016-01-01,982,1076,129
2016-02-01,968,1112,170
2016-03-01,1106,1274,196
2016-04-01,1061,1060,202
2016-05-01,1129,1259,164
2016-06-01,1129,1305,170
2016-07-01,931,1114,203
2016-08-01,1212,1189,160
2016-09-01,1049,1096,159
2016-10-01,1002,1036,150
2016-11-01,989,1056,101
2016-12-01,887,943,142
2017-01-01,953,1098,122
2017-02-01,985,1153,146
2017-03-01,1061,1243,150
2017-04-01,999,1231,125
2017-05-01,1058,1374,149
2017-06-01,1091,1388,147
2017-07-01,1006,1429,145
2017-08-01,1109,1406,129
2017-09-01,1014,1273,139
2017-10-01,1017,1321,216
2017-11-01,911,1304,204
2017-12-01,836,1317,159
2018-01-01,1073,1343,163
2018-02-01,947,1135,147
2018-03-01,1086,1380,206
2018-04-01,993,1292,208
2018-05-01,1044,1298,149
2018-06-01,988,1295,167
2018-07-01,1135,1410,166
2018-08-01,1116,1354,175
2018-09-01,1016,1224,140
2018-10-01,1073,1304,162
2018-11-01,898,1231,168
2018-12-01,888,1240,139
2019-01-01,921,1121,153
2019-02-01,819,1161,112
2019-03-01,1002,1237,144
2019-04-01,1012,1284,172
2019-05-01,1015,1337,142
2019-06-01,989,1277,179
2019-07-01,1102,1398,216
2019-08-01,1064,1302,209
2019-09-01,909,1240,223
2019-10-01,940,1285,190
2019-11-01,932,1179,151
2019-12-01,998,1353,152
2020-01-01,1033,1336,172
2020-02-01,952,1195,120
2020-03-01,831,1132,98
2020-04-01,911,1098,63
2020-05-01,943,1247,50
2020-06-01,908,1186,121
2020-07-01,1006,1281,137
2020-08-01,1022,1280,153
2020-09-01,1104,1075,152
2020-10-01,1017,1406,120
2020-11-01,904,1182,88
2020-12-01,973,1125,58
2021-01-01,923,1140,110
2021-02-01,897,947,179
2021-03-01,1048,1247,211
2021-04-01,1028,1155,149
2021-05-01,1002,1071,121
2021-06-01,1191,1263,118
2021-07-01,1036,1123,131
2021-08-01,1161,1160,151
2021-09-01,1005,1041,109
2021-10-01,948,1060,121
2021-11-01,965,1089,111
2021-12-01,939,982,122
2022-01-01,908,968,202
2022-02-01,892,885,138
2022-03-01,1033,1015,215
2022-04-01,1055,1032,169
2022-05-01,1095,1111,164
2022-06-01,1095,984,152
2022-07-01,1029,1009,162
2022-08-01,980,1077,177
2022-09-01,919,991,131
2022-10-01,978,1016,130
2022-11-01,909,979,86
2022-12-01,872,938,117
2023-01-01,1007,1063,159
2023-02-01,856,980,168
2023-03-01,992,1033,140
2023-04-01,972,1128,164
2023-05-01,1107,1331,159
2023-06-01,1124,1305,176
2023-07-01,1130,1266,145
2023-08-01,1235,1180,119
2023-09-01,1074,1098,119
2023-10-01,1068,1108,169
2023-11-01,955,1037,111
2023-12-01,997,1077,142
2024-01-01,1030,1147,203
2024-02-01,995,1085,180
2024-03-01,1064,1135,164
2024-04-01,1082,1207,262
2024-05-01,1150,1224,207
2024-06-01,1047,1206,147
2024-07-01,1020,1177,143
2024-08-01,1124,1210,140
2024-09-01,1070,1188,160
2024-10-01,1057,1190,163
2024-11-01,1014,1047,162
