yr_month,Felony-Custodial Sentence,Misdemeanor-Custodial Sentence,Ordinance-Custodial Sentence,Felony-Prison Sentence,Misdemeanor-Prison Sentence,Felony-Jail Sentence,Misdemeanor-Jail Sentence,Ordinance-Jail Sentence
2015-01-01,185,207,0,138,6,47,201,0
2015-02-01,155,181,0,108,2,47,179,0
2015-03-01,176,174,0,125,3,51,171,0
2015-04-01,183,166,3,139,0,44,166,3
2015-05-01,155,152,0,108,3,47,149,0
2015-06-01,217,201,0,160,6,57,195,0
2015-07-01,250,137,0,204,4,46,133,0
2015-08-01,157,166,0,124,2,33,164,0
2015-09-01,181,223,1,134,6,47,217,1
2015-10-01,215,237,0,163,6,52,231,0
2015-11-01,172,157,0,133,5,39,152,0
2015-12-01,127,169,0,101,3,26,166,0
2016-01-01,154,168,0,112,6,42,162,0
2016-02-01,164,183,0,118,3,46,180,0
2016-03-01,216,179,1,166,1,50,178,1
2016-04-01,203,125,0,158,3,45,122,0
2016-05-01,192,131,0,148,4,44,127,0
2016-06-01,228,163,0,179,4,49,159,0
2016-07-01,159,125,0,128,3,31,122,0
2016-08-01,174,135,0,136,4,38,131,0
2016-09-01,179,130,0,132,1,47,129,0
2016-10-01,170,130,0,135,0,35,130,0
2016-11-01,160,145,0,124,3,36,142,0
2016-12-01,152,98,0,121,0,31,98,0
2017-01-01,152,134,0,120,3,32,131,0
2017-02-01,184,112,0,152,1,32,111,0
2017-03-01,194,140,0,160,2,34,138,0
2017-04-01,152,169,0,117,3,35,166,0
2017-05-01,174,127,0,134,2,40,125,0
2017-06-01,166,129,0,130,3,36,126,0
2017-07-01,177,83,0,146,2,31,81,0
2017-08-01,154,121,0,121,0,33,121,0
2017-09-01,146,143,0,109,5,37,138,0
2017-10-01,189,128,1,137,2,52,126,1
2017-11-01,193,112,0,146,1,47,111,0
2017-12-01,165,100,0,127,2,38,98,0
2018-01-01,176,122,0,142,0,34,122,0
2018-02-01,168,119,0,135,2,33,117,0
2018-03-01,211,106,1,172,2,39,104,1
2018-04-01,168,99,0,144,1,24,98,0
2018-05-01,201,101,0,166,2,35,99,0
2018-06-01,203,86,0,173,4,30,82,0
2018-07-01,164,77,0,133,2,31,75,0
2018-08-01,151,99,0,111,3,40,96,0
2018-09-01,120,85,0,80,1,40,84,0
2018-10-01,147,101,1,119,0,28,101,1
2018-11-01,163,59,0,135,0,28,59,0
2018-12-01,158,91,0,126,0,32,91,0
2019-01-01,128,102,0,92,5,36,97,0
2019-02-01,188,133,0,146,2,42,131,0
2019-03-01,160,113,0,122,1,38,112,0
2019-04-01,202,117,0,159,2,43,115,0
2019-05-01,181,99,0,139,3,42,96,0
2019-06-01,190,97,0,155,1,35,96,0
2019-07-01,241,67,0,195,0,46,67,0
2019-08-01,137,77,0,106,3,31,74,0
2019-09-01,154,78,0,120,0,34,78,0
2019-10-01,191,123,0,161,0,30,123,0
2019-11-01,131,77,0,110,0,21,77,0
2019-12-01,140,74,0,112,2,28,72,0
2020-01-01,145,71,0,116,1,29,70,0
2020-02-01,176,62,0,147,1,29,61,0
2020-03-01,101,49,0,74,1,27,48,0
2020-04-01,13,8,0,8,1,5,7,0
2020-05-01,23,6,0,20,0,3,6,0
2020-06-01,53,16,0,43,0,10,16,0
2020-07-01,117,41,0,93,1,24,40,0
2020-08-01,90,30,0,67,3,23,27,0
2020-09-01,92,32,0,70,0,22,32,0
2020-10-01,99,38,0,85,0,14,38,0
2020-11-01,48,26,0,38,2,10,24,0
2020-12-01,82,28,0,67,1,15,27,0
2021-01-01,101,38,0,77,0,24,38,0
2021-02-01,110,45,0,88,1,22,44,0
2021-03-01,123,51,0,100,2,23,49,0
2021-04-01,128,34,1,108,1,20,33,1
2021-05-01,87,44,0,74,2,13,42,0
2021-06-01,111,50,0,94,0,17,50,0
2021-07-01,130,40,0,109,0,21,40,0
2021-08-01,91,28,0,73,0,18,28,0
2021-09-01,88,28,0,72,1,16,27,0
2021-10-01,102,49,0,86,0,16,49,0
2021-11-01,86,52,0,70,0,16,52,0
